time,stress
0,-9.3779435
0.1010056,-9.3845513
0.2020116,-9.3774352
0.3040175,-9.3601534
0.4070234,-9.3799767
0.5090289,-9.3830264
0.6110349,-9.384043
0.7130408,-9.3677777
0.8150468,-9.3687943
0.9170523,-9.3825181
1.0190582,-9.3815015
1.1220641,-9.3830264
1.2240701,-9.3942088
1.327076,-9.3896342
1.4290819,-9.3713357
1.5320878,-9.3860761
1.6340933,-9.3870927
1.7370992,-9.3672694
1.8401051,-9.3672694
1.9461112,-9.3723523
2.0491171,-9.3713357
2.152123,-9.3708275
2.2541289,-9.3784518
2.3561349,-9.3713357
2.4581409,-9.3687943
2.5601463,-9.3794684
2.6621523,-9.3713357
2.7641582,-9.3637114
2.8661637,-9.3850596
2.9681697,-9.3667611
3.0701756,-9.3586285
3.1731815,-9.3784518
3.2761874,-9.3825181
3.3781934,-9.3738772
3.4801989,-9.3845513
3.5822048,-9.3870927
3.6852107,-9.3759103
3.7882166,-9.36117
3.8912225,-9.3510042
3.9942284,-9.3550705
4.0952344,-9.3733689
4.1972399,-9.3881093
4.2992458,-9.3774352
4.4002514,-9.3789601
4.5022573,0
4.6042633,0.0040663
4.7062693,0.0137238
4.8082752,0.0055912
4.9102807,-0.0050829
5.0122867,0.0010166
5.1162925,0.0045746
5.2212987,0.0213482
5.3233047,0.0116907
5.4263105,-0.012199
5.5293164,-0.0091492
5.6313219,0.0091492
5.7343278,0.0137238
5.8363338,0.019315
5.9373398,0.0040663
6.0403452,0.0025414
6.1433516,0.0091492
6.245357,0.0055912
6.3463631,-0.0086409
6.448369,-0.0040663
6.5513749,0
6.6553807,-0.0020332
6.7573867,-0.0025414
6.8593922,0.0142321
6.9613981,0.0086409
7.0634041,0.0030497
7.16541,-0.003558
7.2684159,-0.0284642
7.3724217,-0.0106741
7.4754276,-0.0030497
7.5774336,-0.0132155
7.6794391,-0.0096575
7.781445,-0.019315
7.8844509,-0.0269393
7.9864569,0.0015249
8.0874624,0.0071161
8.1904683,-0.0025414
8.2924743,0.0096575
8.3944802,0.0137238
8.4964857,0.0086409
8.5984917,0.0096575
8.7004976,0.0096575
8.8025036,0.0111824
8.9045095,0.0101658
9.0055151,0.0020332
9.1095209,0.0055912
9.2145271,0.015757
9.3165326,0.0025414
9.4185386,0.0076243
9.5205445,0.003558
9.6225505,0.0030497
9.7255564,-0.0040663
9.8275623,0.0010166
9.9305682,0.0066078
10.0335736,0.0050829
10.1345797,0.0152487
10.2365856,0.0076243
10.3385911,-0.0086409
10.4405971,-0.0045746
10.542603,-0.012199
10.644609,0.0025414
10.7476149,0.0066078
10.8516207,-0.0132155
10.9536266,-0.0147404
11.0556321,-0.0238896
11.1576381,-0.0259228
11.259644,-0.0045746
11.36165,0.012199
11.4636555,0.0071161
11.5666614,-0.0172818
11.6686673,-0.0142321
11.7716732,0.0005083
11.8736792,0.0045746
11.976685,0.0030497
12.0776906,0.0025414
12.1786966,0.0025414
12.2817025,0.0116907
12.3837085,0.0096575
12.485714,-0.0040663
12.5887198,-0.015757
12.6937261,-0.0005083
12.795732,0.0030497
12.8977375,-0.0066078
12.9997435,-0.0076243
13.1017494,-0.0076243
13.2037554,-0.0010166
13.3057609,0.019315
13.4077668,0.0116907
13.5107727,-0.0101658
13.6127787,-0.0030497
13.7147846,0.0086409
13.8187904,-0.0040663
13.9207964,-0.0106741
14.0238023,-0.0167736
14.1258078,-0.0020332
14.2288136,0.012199
14.3308196,0.0162653
14.4328256,0.0152487
14.5348315,-0.0040663
14.636837,-0.0086409
14.738843,0.0025414
14.8428488,0.0218565
14.9448547,0.0208399
15.0468607,0.0213482
15.1488667,0.0111824
15.2508721,-0.0106741
15.3528781,-0.0020332
15.4548841,0.0091492
15.55689,0.0147404
15.6598959,-0.003558
15.7619014,-0.003558
15.8649073,-0.0111824
15.9679132,0.0167736
16.0699191,0.0198233
16.1719251,0.0177901
16.273931,0.0091492
16.3759365,0.003558
16.4779425,0.003558
16.5799484,-0.0050829
16.6819539,0.0101658
16.7849598,0.0101658
16.8889661,0.0010166
16.991972,-0.0025414
17.0939779,0.0045746
17.1959834,0.0040663
17.2999897,-0.0188067
17.4049954,-0.0081326
17.5070014,0.0015249
17.6090069,-0.0147404
17.7110128,-0.0055912
17.8130188,0.0096575
17.9150248,0.012199
18.0190306,-0.0010166
18.1200366,0.0091492
18.2220421,0.0137238
18.324048,0.0045746
18.426054,0.0060995
18.5280595,0.0182984
18.6300654,0.0045746
18.7320714,-0.019315
18.8340774,-0.0152487
18.9380832,0.0045746
19.0430894,0.0152487
19.1450949,0.0218565
19.2471008,0.0188067
19.3491068,-0.0040663
19.4521127,-0.003558
19.5561185,0.0066078
19.6581244,-0.0050829
19.7601304,-0.0050829
19.8621359,-0.0010166
19.9641418,0.0066078
20.0651474,-0.0015249
20.1671534,0.0066078
20.2681594,-0.0020332
20.3701653,-0.003558
20.4721708,0.0137238
20.5741768,0.0005083
20.6761827,0.0005083
20.7781882,0.0213482
20.8801942,0.0060995
20.9822001,0.0010166
21.0842061,0
21.1862116,0.0010166
21.2882175,0.0010166
21.3902235,0.0045746
21.4932294,0.0076243
21.5952353,0.0025414
21.6972408,0.0081326
21.7992468,0.0111824
21.9002528,0.0127072
22.0032587,0.0147404
22.1052642,-0.0045746
22.2072701,-0.0091492
22.3092761,0.0066078
22.4112816,0.0040663
22.5132875,-0.0040663
22.6152935,0.0015249
22.7172995,-0.0005083
22.8193049,-0.0101658
22.9213109,0.003558
23.0233169,0.0218565
23.1253228,0.0299891
23.2273283,0.0111824
23.3293343,0.0091492
23.4313402,0.0101658
23.5333462,0.0101658
23.6353517,0.0025414
23.7373576,0.0040663
23.8393636,0.0132155
23.9423695,0.0015249
24.043375,-0.0060995
24.144381,-0.0101658
24.246387,0.0050829
24.3483925,0.012199
24.4503984,0.0040663
24.5534043,-0.0116907
24.6574101,-0.0071161
24.7594161,-0.0071161
24.8614221,-0.0040663
24.963428,0.0050829
25.0654335,0.0050829
25.1674395,0.012199
